id,formula,tc,origin,cluster,action
Nd1Ba2Cu3O6.13-MP-mp-1228184.cif,Nd1Ba2Cu3O6.13,0.0,new,Ba-Cu-Nd-O|Nd1Ba2Cu3O6.09,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Nd1Ba2Cu3O6.09-MP-mp-1228184.cif,Nd1Ba2Cu3O6.09,90.5,new,Ba-Cu-Nd-O|Nd1Ba2Cu3O6.09,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Nd1Ba2Cu3O6.3-MP-mp-1228184.cif,Nd1Ba2Cu3O6.3,0.0,new,Ba-Cu-Nd-O|Nd1Ba2Cu3O6.23,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Nd1Ba2Cu3O6.23-MP-mp-1228184.cif,Nd1Ba2Cu3O6.23,60.5,new,Ba-Cu-Nd-O|Nd1Ba2Cu3O6.23,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu2.7Ni0.3O7-MP-mp-20674.cif,Y1Ba2Cu2.7Ni0.3O7,0.0,new,Ba-Cu-Ni-O-Y|Y1Ba2Cu2.72Ni0.28O7,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu2.72Ni0.28O7-MP-mp-20674.cif,Y1Ba2Cu2.72Ni0.28O7,51.0,new,Ba-Cu-Ni-O-Y|Y1Ba2Cu2.72Ni0.28O7,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.35Pr0.65Ba1Sr1Cu3O6.9-MP-mp-1228182.cif,Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3,new,Ba-Cu-O-Pr-Sr-Y|Y0.35Pr0.65Ba1Sr1Cu3O6.9,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.35Pr0.65Ba1Sr1Cu3O6.95-MP-mp-1228182.cif,Y0.35Pr0.65Ba1Sr1Cu3O6.95,0.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.35Pr0.65Ba1Sr1Cu3O6.9,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.3Pr0.7Ba1Sr1Cu3O6.95-MP-mp-1227458.cif,Y0.3Pr0.7Ba1Sr1Cu3O6.95,14.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.3Pr0.7Ba1Sr1Cu3O6.95,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.3Pr0.7Ba1Sr1Cu3O6.9-MP-mp-1227458.cif,Y0.3Pr0.7Ba1Sr1Cu3O6.9,0.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.3Pr0.7Ba1Sr1Cu3O6.95,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.5Pr0.5Ba1Sr1Cu3O6.9-MP-mp-1228182.cif,Y0.5Pr0.5Ba1Sr1Cu3O6.9,36.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.5Pr0.5Ba1Sr1Cu3O6.9,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.5Pr0.5Ba1Sr1Cu3O6.95-MP-mp-1228182.cif,Y0.5Pr0.5Ba1Sr1Cu3O6.95,0.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.5Pr0.5Ba1Sr1Cu3O6.9,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.6Pr0.4Ba1Sr1Cu3O6.89-MP-mp-1228182.cif,Y0.6Pr0.4Ba1Sr1Cu3O6.89,56.75,new,Ba-Cu-O-Pr-Sr-Y|Y0.6Pr0.4Ba1Sr1Cu3O6.89,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.6Pr0.4Ba1Sr1Cu3O6.95-MP-mp-1228182.cif,Y0.6Pr0.4Ba1Sr1Cu3O6.95,0.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.6Pr0.4Ba1Sr1Cu3O6.89,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.8Pr0.2Ba1Sr1Cu3O6.9-MP-mp-1228182.cif,Y0.8Pr0.2Ba1Sr1Cu3O6.9,79.4,new,Ba-Cu-O-Pr-Sr-Y|Y0.8Pr0.2Ba1Sr1Cu3O6.9,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.8Pr0.2Ba1Sr1Cu3O6.95-MP-mp-1228182.cif,Y0.8Pr0.2Ba1Sr1Cu3O6.95,0.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.8Pr0.2Ba1Sr1Cu3O6.9,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Sm1Ba1Sr1Cu3O6.94-MP-mp-1227474.cif,Sm1Ba1Sr1Cu3O6.94,80.0,new,Ba-Cu-O-Sm-Sr|Sm1Ba1Sr1Cu3O6.94,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
SmBaSrCu3O7-MP-icsd-68194.cif,SmBaSrCu3O7,0.0,new,Ba-Cu-O-Sm-Sr|Sm1Ba1Sr1Cu3O6.94,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba1.68Sr0.32Cu4O8-MP-mp-1227433.cif,Y1Ba1.68Sr0.32Cu4O8,0.0,new,Ba-Cu-O-Sr-Y|Y1Ba1.65Sr0.35Cu4O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba1.65Sr0.35Cu4O8-MP-mp-1227433.cif,Y1Ba1.65Sr0.35Cu4O8,80.8,new,Ba-Cu-O-Sr-Y|Y1Ba1.65Sr0.35Cu4O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu3.7Zn0.3O8-MP-mp-6790.cif,Y1Ba2Cu3.7Zn0.3O8,22.5,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu3.7Zn0.3O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu3.72Zn0.28O8-MP-mp-6790.cif,Y1Ba2Cu3.72Zn0.28O8,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu3.7Zn0.3O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu3.84Zn0.16O8-MP-mp-6790.cif,Y1Ba2Cu3.84Zn0.16O8,31.5,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu3.84Zn0.16O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu3.85Zn0.15O8-MP-mp-6790.cif,Y1Ba2Cu3.85Zn0.15O8,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu3.84Zn0.16O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
