id,formula,tc,origin,severity,n_flags,reasons
La1.8Sr0.2Cu0.9975Zn0.0025O4-MP-mp-1077929.cif,La1.8Sr0.2Cu0.9975Zn0.0025O4,30.2,new,1,1,A:trace-dopant(Zn 0.0004)
Y1Ba2Cu3.928Zn0.072O8-MP-mp-6790.cif,Y1Ba2Cu3.928Zn0.072O8,30.1,new,1,1,A:trace-dopant(Zn 0.0048)
La1.83Sr0.17Cu0.99Ni0.01O4-MP-mp-1077929.cif,La1.83Sr0.17Cu0.99Ni0.01O4,30.1,new,1,1,A:trace-dopant(Ni 0.0014)
La1.85Sr0.12Ca0.016Ba0.014Cu1O4-MP-mp-1077929.cif,La1.85Sr0.12Ca0.016Ba0.014Cu1O4,30.0,new,1,1,A:trace-dopant(Ba 0.0020)
La1.776Nd0.074Sr0.014Ba0.136Cu1O4.03-MP-mp-757399.cif,La1.776Nd0.074Sr0.014Ba0.136Cu1O4.03,30.0,new,1,1,A:trace-dopant(Sr 0.0020)
La1.776Nd0.074Sr0.014Ba0.136Cu1O4-MP-mp-1077929.cif,La1.776Nd0.074Sr0.014Ba0.136Cu1O4,30.0,new,1,1,A:trace-dopant(Sr 0.0020)
Y1Ba2Cu2.95Zn0.05O6.72-MP-mp-1228425.cif,Y1Ba2Cu2.95Zn0.05O6.72,30.0,new,1,1,A:trace-dopant(Zn 0.0039)
Sr0.9La0.1Cu0.99Ni0.01O2-MP-mp-37514.cif,Sr0.9La0.1Cu0.99Ni0.01O2,30.0,new,1,1,A:trace-dopant(Ni 0.0025)
Y1Ba2Cu2.97Zn0.03O6.47-MP-mp-20897.cif,Y1Ba2Cu2.97Zn0.03O6.47,29.8,new,1,1,A:trace-dopant(Zn 0.0024)
La1.85Sr0.15Cu0.995Ga0.005O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.995Ga0.005O4,29.8,new,1,1,A:trace-dopant(Ga 0.0007)
La1.875Ba0.025Sr0.1Cu1O4-MP-mp-1077929.cif,La1.875Ba0.025Sr0.1Cu1O4,29.65,new,1,1,A:trace-dopant(Ba 0.0036)
La1.825Sr0.175Cu0.99Ru0.01O4-MP-mp-1077929.cif,La1.825Sr0.175Cu0.99Ru0.01O4,29.6,new,1,1,A:trace-dopant(Ru 0.0014)
La1.84Sr0.16Cu0.99Co0.01O4-MP-mp-1077929.cif,La1.84Sr0.16Cu0.99Co0.01O4,29.5,new,1,1,A:trace-dopant(Co 0.0014)
La1.736Nd0.114Ca0.138Ba0.012Cu1O4.02-MP-icsd-41494.cif,La1.736Nd0.114Ca0.138Ba0.012Cu1O4.02,29.4,new,1,1,A:trace-dopant(Ba 0.0017)
La2Cu0.99Zn0.01O4.099-MP-mp-757399.cif,La2Cu0.99Zn0.01O4.099,29.3,new,1,1,A:trace-dopant(Zn 0.0014)
Rb3C60C60-MP-mp-568643.cif,Rb3C60C60,29.0,new,1,1,"A:huge-coefficient(max 120, 123 atoms)"
La1.82Sr0.18Cu0.97Fe0.03O4-MP-mp-1077929.cif,La1.82Sr0.18Cu0.97Fe0.03O4,29.0,new,1,1,A:trace-dopant(Fe 0.0043)
Sr0.2La1.8Cu0.99Zn0.01O4-MP-mp-1077929.cif,Sr0.2La1.8Cu0.99Zn0.01O4,29.0,new,1,1,A:trace-dopant(Zn 0.0014)
