id,formula,tc,origin,cls,n_nbr,nbr_median,nbr_min,nbr_max,nearest,nearest_tc,nearest_dist,chemsys
La1.8Sr0.2Ca1Cu2O5.98-MP-mp-1213978.cif,La1.8Sr0.2Ca1Cu2O5.98,60.0,new,mid-outlier,11,15.0,0.0,54.0,La1.8Sr0.2Ca1Cu2O5.96,54.0,0.002,Ca-Cu-La-O-Sr
Y1Sr2Cu2.7Ti0.3O7-MP-mp-985569.cif,Y1Sr2Cu2.7Ti0.3O7,58.0,new,mid-outlier,9,21.0,0.0,56.0,Y1Sr2Cu2.7Ti0.3O7.098,0.0,0.007,Cu-O-Sr-Ti-Y
Y1Sr2Cu2.675Ti0.325O7.1-MP-mp-1046189.cif,Y1Sr2Cu2.675Ti0.325O7.1,56.0,new,mid-outlier,7,21.0,0.0,58.0,Y1Sr2Cu2.65Ti0.35O7.1,53.0,0.004,Cu-O-Sr-Ti-Y
La1.8Sr0.2Ca1Cu2O5.96-MP-mp-1213978.cif,La1.8Sr0.2Ca1Cu2O5.96,54.0,new,mid-outlier,11,15.0,0.0,60.0,La1.8Sr0.2Ca1Cu2O5.98,60.0,0.002,Ca-Cu-La-O-Sr
Nd1Ba2Cu2.95Ga0.05O6.59-MP-mp-22719.cif,Nd1Ba2Cu2.95Ga0.05O6.59,53.0,new,mid-outlier,3,23.0,0.0,38.0,Nd1Ba2Cu2.9Ga0.1O6.61,38.0,0.009,Ba-Cu-Ga-Nd-O
Y1Sr2Cu2.65Ti0.35O7.1-MP-mp-1046189.cif,Y1Sr2Cu2.65Ti0.35O7.1,53.0,new,mid-outlier,7,21.0,0.0,58.0,Y1Sr2Cu2.675Ti0.325O7.1,56.0,0.004,Cu-O-Sr-Ti-Y
Tl1Sr2Ca1Cu2O6.61-MP-mp-20824.cif,Tl1Sr2Ca1Cu2O6.61,52.0,new,mid-outlier,9,23.0,0.0,75.0,Tl1Sr2Ca1Cu2O6.58,43.0,0.002,Ca-Cu-O-Sr-Tl
La1.77Sr0.23Ca1Cu2O6.03-MP-mp-1213978.cif,La1.77Sr0.23Ca1Cu2O6.03,51.5,new,mid-outlier,11,15.0,0.0,60.0,La1.8Sr0.2Ca1Cu2O6.03,51.0,0.005,Ca-Cu-La-O-Sr
La1.8Sr0.2Ca1Cu2O6.03-MP-mp-1213978.cif,La1.8Sr0.2Ca1Cu2O6.03,51.0,new,mid-outlier,11,15.0,0.0,60.0,La1.8Sr0.2Ca1Cu2O5.98,60.0,0.004,Ca-Cu-La-O-Sr
Nd0.8Pr0.2Ba2Cu3O6.81-MP-mp-22719.cif,Nd0.8Pr0.2Ba2Cu3O6.81,50.0,new,mid-outlier,19,16.8,0.0,57.2,Nd0.8Pr0.2Ba2Cu3O6.85,30.2,0.003,Ba-Cu-Nd-O-Pr
Y1Ba1.9La0.1Cu3.972Zn0.028O8-MP-mp-6790.cif,Y1Ba1.9La0.1Cu3.972Zn0.028O8,48.7,new,mid-outlier,3,17.8,16.2,33.3,Y1Ba1.9La0.1Cu3.95Zn0.05O8,33.3,0.003,Ba-Cu-La-O-Y-Zn
Bi2Sr2Ca0.57Pr0.43Cu2O8-MP-mp-1218930.cif,Bi2Sr2Ca0.57Pr0.43Cu2O8,48.0,new,mid-outlier,6,23.7,0.0,88.0,Bi2Sr2Ca0.6Pr0.4Cu2O8,42.2,0.004,Bi-Ca-Cu-O-Pr-Sr
La3.1Gd0.2Ca0.4Ba3.3Cu7O16.473-MP-icsd-64631.cif,La3.1Gd0.2Ca0.4Ba3.3Cu7O16.473,48.0,new,mid-outlier,3,15.0,0.0,39.0,La1.9Gd0.1Ba2Ca0.2Cu4.2O9.839,15.0,0.009,Ba-Ca-Cu-Gd-La-O
La1.85Sr0.15Ca1Cu2O6.03-MP-mp-1213978.cif,La1.85Sr0.15Ca1Cu2O6.03,47.5,new,mid-outlier,11,15.0,0.0,60.0,La1.83Ca1.006Sr0.164Cu2O6.08,14.1,0.007,Ca-Cu-La-O-Sr
Y0.8Pr0.2Ba2Cu3.975Fe0.025O8-MP-mp-1229203.cif,Y0.8Pr0.2Ba2Cu3.975Fe0.025O8,46.0,new,mid-outlier,3,10.0,0.0,33.0,Y0.8Pr0.2Ba2Cu3.95Fe0.05O8,33.0,0.003,Ba-Cu-Fe-O-Pr-Y
Bi1.6Pb0.4Sr2Cu3Ca2O10.04-MP-mp-1209015.cif,Bi1.6Pb0.4Sr2Cu3Ca2O10.04,45.0,new,mid-outlier,10,102.0,67.1,108.6,Bi1.6Pb0.4Sr2Ca2Cu3O10.07,81.15,0.001,Bi-Ca-Cu-O-Pb-Sr
La1.9Sr0.1Ca1Cu2O6.03-MP-mp-1213978.cif,La1.9Sr0.1Ca1Cu2O6.03,43.0,new,mid-outlier,11,15.0,0.0,60.0,La1.9Sr0.1Ca1Cu2O6.02,0.0,0.001,Ca-Cu-La-O-Sr
La1.25Ba1.75Cu3O7.07-MP-mp-558557.cif,La1.25Ba1.75Cu3O7.07,40.0,new,mid-outlier,10,19.5,0.0,80.0,La2.6Ba3.4Cu6O14.06,26.0,0.01,Ba-Cu-La-O
La1Ba1Cu2.88Co0.12O7-MP-mp-1214652.cif,La1Ba1Cu2.88Co0.12O7,40.0,new,mid-outlier,3,14.0,0.0,57.0,La1Ba1Cu2.82Co0.18O7,14.0,0.01,Ba-Co-Cu-La-O
La1.98Sr0.02Cu1O4.09-MP-mp-757399.cif,La1.98Sr0.02Cu1O4.09,40.0,new,mid-outlier,34,16.9,0.0,40.0,La1.97Sr0.03Cu1O4.06,39.0,0.004,Cu-La-O-Sr
La1.99Sr0.01Cu1O4.13-MP-mp-757399.cif,La1.99Sr0.01Cu1O4.13,40.0,new,mid-outlier,26,8.1,0.0,40.0,La1.98Sr0.02Cu1O4.09,40.0,0.005,Cu-La-O-Sr
La1Ba1.5Ca0.5Cu3O6.79-MP-mp-1228470.cif,La1Ba1.5Ca0.5Cu3O6.79,40.0,new,mid-outlier,22,17.0,0.0,79.9,La1Ba1.5Ca0.5Cu3O6.8,0.0,0.001,Ba-Ca-Cu-La-O
Sm1.15Ba1.85Cu3O6.955-MP-mp-21451.cif,Sm1.15Ba1.85Cu3O6.955,38.65,new,mid-outlier,19,78.5,0.0,91.1,Ba1.85Cu3Sm1.15O7,83.0,0.003,Ba-Cu-O-Sm
Sm1Ba2Cu3O6.75-MP-mp-21451.cif,Sm1Ba2Cu3O6.75,38.4,new,mid-outlier,21,83.6,0.0,93.5,Sm1Ba2Cu3O6.73,56.275,0.001,Ba-Cu-O-Sm
Nd1.4Ba1.6Cu3O7.09-MP-mp-1228592.cif,Nd1.4Ba1.6Cu3O7.09,38.0,new,mid-outlier,13,15.4,0.0,69.0,Nd1.4Ba1.6Cu3O7.002,0.0,0.006,Ba-Cu-Nd-O
Ba2Cu3Eu0.6Pr0.4O7-MP-mp-1228601-synth_doped.cif,Ba2Cu3Eu0.6Pr0.4O7,37.8,V45,mid-outlier,5,15.0,0.0,53.8,Eu0.6Pr0.4Ba2Cu3O6.97,15.0,0.002,Ba-Cu-Eu-O-Pr
