id,formula,tc,origin,cluster,n,n_zero,n_pos,action
Ba2Cu1Hg1O4.14-MP-mp-6562-synth_doped.cif,Ba2Cu1Hg1O4.14,0.0,V45,Ba-Cu-Hg-O|Ba2Cu1Hg1O4.081,41,3,38,minority zero (3 zero vs 38 SC)
Ba2Cu1Hg1O4.32-MP-mp-6562-synth_doped.cif,Ba2Cu1Hg1O4.32,0.0,V45,Ba-Cu-Hg-O|Ba2Cu1Hg1O4.081,41,3,38,minority zero (3 zero vs 38 SC)
La1.875Ba0.125Cu0.94Ni0.06O4-MP-mp-1077929.cif,La1.875Ba0.125Cu0.94Ni0.06O4,0.0,new,Ba-Cu-La-Ni-O|La1.842Ba0.158Cu0.99Ni0.01O4,10,4,6,minority zero (4 zero vs 6 SC)
La1.875Ba0.125Cu0.96Ni0.04O4-MP-mp-1077929.cif,La1.875Ba0.125Cu0.96Ni0.04O4,0.0,new,Ba-Cu-La-Ni-O|La1.842Ba0.158Cu0.99Ni0.01O4,10,4,6,minority zero (4 zero vs 6 SC)
La1.875Ba0.125Cu0.99Ni0.01O4-MP-mp-1077929.cif,La1.875Ba0.125Cu0.99Ni0.01O4,0.0,new,Ba-Cu-La-Ni-O|La1.842Ba0.158Cu0.99Ni0.01O4,10,4,6,minority zero (4 zero vs 6 SC)
La1.875Ba0.125Cu0.98Ni0.02O4-MP-mp-1077929.cif,La1.875Ba0.125Cu0.98Ni0.02O4,0.0,new,Ba-Cu-La-Ni-O|La1.842Ba0.158Cu0.99Ni0.01O4,10,4,6,minority zero (4 zero vs 6 SC)
La1.9Ba0.1Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.9Ba0.1Cu0.99Zn0.01O4,9.8,new,Ba-Cu-La-O-Zn|La1.82Ba0.18Cu0.99Zn0.01O4,10,7,3,minority sc (7 zero vs 3 SC)
La1.84Ba0.16Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.84Ba0.16Cu0.99Zn0.01O4,12.4,new,Ba-Cu-La-O-Zn|La1.82Ba0.18Cu0.99Zn0.01O4,10,7,3,minority sc (7 zero vs 3 SC)
La1.82Ba0.18Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.82Ba0.18Cu0.99Zn0.01O4,13.9,new,Ba-Cu-La-O-Zn|La1.82Ba0.18Cu0.99Zn0.01O4,10,7,3,minority sc (7 zero vs 3 SC)
Ba0.004Cu1La1.996O4-MP-mp-1077929-synth_doped.cif,Ba0.004Cu1La1.996O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.014Cu1La1.986O4-MP-mp-1077929-synth_doped.cif,Ba0.014Cu1La1.986O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.016Cu1La1.984O4-MP-mp-1077929-synth_doped.cif,Ba0.016Cu1La1.984O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.01Cu1La1.99O4-MP-mp-1077929-synth_doped.cif,Ba0.01Cu1La1.99O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.024Cu1La1.976O4-MP-mp-1077929-synth_doped.cif,Ba0.024Cu1La1.976O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.02Cu1La1.98O4-MP-mp-1077929-synth_doped.cif,Ba0.02Cu1La1.98O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.035Cu1La1.965O4-MP-mp-1077929-synth_doped.cif,Ba0.035Cu1La1.965O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.03Cu1La1.97O4-MP-mp-1077929-synth_doped.cif,Ba0.03Cu1La1.97O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.045Cu1La1.955O4-MP-mp-1077929-synth_doped.cif,Ba0.045Cu1La1.955O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.054Cu1La1.946O4-MP-mp-1077929-synth_doped.cif,Ba0.054Cu1La1.946O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.074Cu1La1.926O4-MP-mp-1077929-synth_doped.cif,Ba0.074Cu1La1.926O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.158Cu1La1.842O4-MP-mp-1077929-synth_doped.cif,Ba0.158Cu1La1.842O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.174Cu1La1.826O4-MP-mp-1077929-synth_doped.cif,Ba0.174Cu1La1.826O4,0.0,V45,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
La1.95Ba0.05Cu1O3.98-MP-mp-1077929.cif,La1.95Ba0.05Cu1O3.98,0.0,new,Ba-Cu-La-O|Ba0.105Cu1La1.895O4,42,14,28,minority zero (14 zero vs 28 SC)
Ba0.25Cu1La1.75O4-MP-mp-1077929-synth_doped.cif,Ba0.25Cu1La1.75O4,0.0,V45,Ba-Cu-La-O|Ba0.24Cu1La1.76O4,3,1,2,minority zero (1 zero vs 2 SC)
La1.2Ba1.8Cu3O7.3-MP-mp-505315.cif,La1.2Ba1.8Cu3O7.3,27.0,new,Ba-Cu-La-O|La1.2Ba1.8Cu3O7.3,5,4,1,minority sc (4 zero vs 1 SC)
Y1Ba2Cu3.88Mn0.12O8-MP-mp-6790.cif,Y1Ba2Cu3.88Mn0.12O8,0.0,new,Ba-Cu-Mn-O-Y|Y1Ba2Cu3.96Mn0.04O8,3,1,2,minority zero (1 zero vs 2 SC)
NdBaSrCu3O7-MP-icsd-56627.cif,NdBaSrCu3O7,0.0,new,Ba-Cu-Nd-O-Sr|Nd1Ba1Sr1Cu3O6.94,3,1,2,minority zero (1 zero vs 2 SC)
Nd1.5Ba1.5Cu3O7.14-MP-mp-1228592.cif,Nd1.5Ba1.5Cu3O7.14,20.0,new,Ba-Cu-Nd-O|Nd1.5Ba1.5Cu3O7.14,4,2,2,minority sc (2 zero vs 2 SC)
Nd1.5Ba1.5Cu3O7.12-MP-mp-1228592.cif,Nd1.5Ba1.5Cu3O7.12,15.4,new,Ba-Cu-Nd-O|Nd1.5Ba1.5Cu3O7.14,4,2,2,minority sc (2 zero vs 2 SC)
Nd1Ba2Cu3O6.87-MP-mp-22719.cif,Nd1Ba2Cu3O6.87,0.0,new,Ba-Cu-Nd-O|Nd1Ba2Cu3O6.76,13,1,12,minority zero (1 zero vs 12 SC)
Y0.4Pr0.6Ba1Sr1Cu3O6.95-MP-mp-1228182.cif,Y0.4Pr0.6Ba1Sr1Cu3O6.95,0.0,new,Ba-Cu-O-Pr-Sr-Y|Y0.4Pr0.6Ba1Sr1Cu3O7,3,1,2,minority zero (1 zero vs 2 SC)
Y0.5Pr0.5Ba2Cu3O6.98-MP-mp-1228182.cif,Y0.5Pr0.5Ba2Cu3O6.98,21.9,new,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
Ba2Cu3Pr0.5Y0.5O7-MP-mp-1228182.cif,Ba2Cu3Pr0.5Y0.5O7,25.93,V45,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
Y0.45Pr0.55Ba2Cu3O6.953-MP-mp-1228182.cif,Y0.45Pr0.55Ba2Cu3O6.953,14.4,new,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
