id,tc_38,std_38,tc_49,std_49,tc_51,std_51,tc_mean,tc_min,tc_max,formula,e_above_hull,band_gap,is_metal,theoretical,nsites,spacegroup,crystal_system,is_magnetic,magnetization,density,known_parent,chem,supercon_tc_exact,supercon_tc_family,supercon
mp-23808,0.606,0.494,0.259,0.218,0.119,0.189,0.328,0.119,0.606,KScBP2HO9,0.0,4.850300000000001,False,False,30.0,P-1,Triclinic,False,0.000888,2.684133374234512,False,other,,,none
mp-1225134,0.18,0.133,0.402,0.363,0.402,0.081,0.328,0.18,0.402,EuGaAg4,0.011971512500004167,0.0,True,True,6.0,Cmmm,Orthorhombic,False,7.1217766,8.768192867692052,False,other,,,none
mp-770648,0.236,0.42,0.474,0.044,0.274,0.503,0.328,0.236,0.474,Li8ZrO6,0.0549260243333336,4.0226,False,True,30.0,P6_3cm,Hexagonal,False,0.000659,2.5820188700130204,False,other,,,none
mp-570597,0.263,0.322,0.399,0.318,0.321,0.539,0.3276666666666667,0.263,0.399,La2GeI2,0.00317246600000054,0.3522999999999996,False,False,5.0,P-3m1,Trigonal,False,0.0,4.834830331526125,False,other,,,none
mp-10485,0.149,0.149,0.542,0.297,0.292,0.336,0.3276666666666667,0.149,0.542,BaLiSb,0.0,0.6946999999999997,False,False,6.0,P6_3/mmc,Hexagonal,False,0.0,4.55296037124108,False,other,,,none
mp-1228149,0.181,0.197,0.359,0.228,0.443,0.688,0.3276666666666667,0.181,0.443,Ba3Sr9Al4(O4F)4,0.0,4.292520296624943,False,True,36.0,P422,Tetragonal,False,0.000115,4.991676252547555,False,other,,,none
mp-558033,0.652,0.318,0.048,0.071,0.283,0.308,0.3276666666666667,0.048,0.652,Na2Ca3Ta2O9,0.0674694311718751,3.7107,False,False,16.0,R32,Trigonal,False,0.0008935,4.864301490676926,False,other,,,none
mp-13525,0.509,0.412,0.17,0.283,0.304,0.064,0.3276666666666667,0.17,0.509,HoInIr,0.0,0.0,True,False,9.0,P-62m,Hexagonal,False,3e-07,12.450549235900857,False,other,,,none
mp-1103324,0.023,0.033,0.419,0.475,0.541,0.341,0.3276666666666667,0.023,0.541,GdPO4,0.0,3.2910999999999997,False,True,12.0,I4_1/amd,Tetragonal,False,14.0000002,5.64317514612614,False,other,,,none
mp-1177992,0.645,0.314,0.0,0.0,0.338,0.431,0.3276666666666667,0.0,0.645,Li2Mn(CoO3)2,0.11622521710743694,1.6124865516685083,False,True,22.0,Cmce,Orthorhombic,True,5.9998639,4.127804258255614,False,other,,,none
mp-755104,0.247,0.108,0.36,0.633,0.376,0.125,0.32766666666666666,0.247,0.376,Ba2YCl7,0.08249526450000033,3.9883999999999995,False,True,20.0,C2/c,Monoclinic,False,0.0037987,3.648123514406562,False,other,,,none
mp-976726,0.69,0.3,0.239,0.181,0.054,0.08,0.32766666666666666,0.054,0.69,LiDyO2,0.0,4.5644,False,False,16.0,Pnma,Orthorhombic,False,0.0,6.798753826600938,False,other,,,none
mp-13032,0.367,0.286,0.249,0.447,0.367,0.356,0.32766666666666666,0.249,0.367,MgS,0.034344234999999834,3.3692,False,True,2.0,F-43m,Cubic,False,0.0,2.058127169571708,False,other,,,none
